194	2198	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
195	36697	LATIN CAPITAL LETTER A WITH TILDE
196	4078	LATIN CAPITAL LETTER A WITH DIAERESIS
197	2854	LATIN CAPITAL LETTER A WITH RING ABOVE
198	397	LATIN CAPITAL LETTER AE
199	102085	LATIN CAPITAL LETTER C WITH CEDILLA
200	5037	LATIN CAPITAL LETTER E WITH GRAVE
201	105884	LATIN CAPITAL LETTER E WITH ACUTE
202	12932	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
203	388	LATIN CAPITAL LETTER E WITH DIAERESIS
204	618	LATIN CAPITAL LETTER I WITH GRAVE
205	51450	LATIN CAPITAL LETTER I WITH ACUTE
206	888	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
207	389	LATIN CAPITAL LETTER I WITH DIAERESIS
208	1102	LATIN CAPITAL LETTER ETH
209	33139	LATIN CAPITAL LETTER N WITH TILDE
210	1284	LATIN CAPITAL LETTER O WITH GRAVE
211	37586	LATIN CAPITAL LETTER O WITH ACUTE
212	3959	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
213	1591	LATIN CAPITAL LETTER O WITH TILDE
214	46363	LATIN CAPITAL LETTER O WITH DIAERESIS
215	27196	MULTIPLICATION SIGN
216	1398	LATIN CAPITAL LETTER O WITH STROKE
217	1239	LATIN CAPITAL LETTER U WITH GRAVE
218	18522	LATIN CAPITAL LETTER U WITH ACUTE
219	294	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
220	63785	LATIN CAPITAL LETTER U WITH DIAERESIS
221	283	LATIN CAPITAL LETTER Y WITH ACUTE
222	206	LATIN CAPITAL LETTER THORN
223	8470	LATIN SMALL LETTER SHARP S
224	172165	LATIN SMALL LETTER A WITH GRAVE
225	1157243	LATIN SMALL LETTER A WITH ACUTE
226	39328	LATIN SMALL LETTER A WITH CIRCUMFLEX
227	723653	LATIN SMALL LETTER A WITH TILDE
228	87414	LATIN SMALL LETTER A WITH DIAERESIS
229	67139	LATIN SMALL LETTER A WITH RING ABOVE
230	5213	LATIN SMALL LETTER AE
231	836035	LATIN SMALL LETTER C WITH CEDILLA
232	152429	LATIN SMALL LETTER E WITH GRAVE
233	1771790	LATIN SMALL LETTER E WITH ACUTE
234	303513	LATIN SMALL LETTER E WITH CIRCUMFLEX
235	8255	LATIN SMALL LETTER E WITH DIAERESIS
236	13675	LATIN SMALL LETTER I WITH GRAVE
237	1107890	LATIN SMALL LETTER I WITH ACUTE
238	11277	LATIN SMALL LETTER I WITH CIRCUMFLEX
239	5506	LATIN SMALL LETTER I WITH DIAERESIS
240	1530	LATIN SMALL LETTER ETH
241	611769	LATIN SMALL LETTER N WITH TILDE
242	17915	LATIN SMALL LETTER O WITH GRAVE
243	881430	LATIN SMALL LETTER O WITH ACUTE
244	58886	LATIN SMALL LETTER O WITH CIRCUMFLEX
245	26130	LATIN SMALL LETTER O WITH TILDE
